,sum_tfidf
bathrobe,371.1908972942688
clevamama,2.4200651039460834
clevabear,185.4349673854913
cream,90.66118272432601
limited,85.2392500943863
edition,806.6779122849495
re,0.521538734075208
skip,457.4789860798793
hop,5.853290251385596
nursery,3.137365250029127
wipe,1.8159198473775413
clean,8.521795681946703
sleep,261.0099551265186
sack,784.5547911977022
coral,567.102640160296
fleece,6.091696971870602
footmuff,167.53451361774145
sabun,5.8963675122860035
lemon,1459.6468498355498
mytool,48.43660977947097
cari,3.3388703293583104
cerelac,104.60598256582746
biscuit,25.42300418714224
nutribite,0.4910600026381152
original,13.12028292094933
earth,7.379676084649819
mama,22.806968978038245
angel,19.922701556474582
balm,233.19348803138163
universal,3.0261270094445956
rotatable,37.987807891556166
parent,63.64983311839263
console,0.5994696971577786
holder,5.131189367189613
kidlove,0.47395912784191196
dining,82.01551199083733
frog,2316.23849733882
urinal,9.497383442616925
pee,39.104207062230074
trainer,171.56562672463323
insect,0.5802745120343746
killer,1.5885707879504178
bracelet,1.2012933707147164
outdoor,16.52672909257876
likelyhood,0.7581762907534146
foldable,208.54067358796433
net,116.80473927455921
safe,113.49044629350996
mesh,2.3423448933509308
cocolmax,59.832616775902295
snapkis,0.3939038522602471
bib,331.3471515412783
pcs,6.779960240285178
pocket,14.92513716964667
magic,201.64813242930333
catch,49.49214044832877
caddy,13.535031943575616
cover,0.47200838071123624
gap,35.464725862851196
domybestshop,16.151383170509277
whoopee,66.83544310458738
pkts,174.95671898510645
deliver,37.54087561700737
infrared,0.9461292904218825
object,52.570241183693845
fever,5.700281770699194
measure,4.748691721308463
cool,21.076649520186443
paste,2.678832668299509
dalin,44.339900639141334
chick,58.31724489432317
wash,66.11642270050078
arrival,200.69640321769242
bundle,2.477131250502887
deal,123.22694473259592
gate,1.2281020885000942
extension,0.607597300159009
sby,1285.99192443242
embroider,43.973211172728355
gown,44.45308931652005
robe,0.826979939935633
design,6.115215894074914
dressing,0.5930142857753278
camouflage,3.050515644502321
shirt,0.5736085102238171
clothing,5.383261307213408
fetus,4.714716202628877
beat,38.354868138173835
pregnant,1.7498225768436704
woman,0.42740384127950287
snack,11.373672920913595
vanilla,3.491600412239791
expiry,11.450507932775203
date,13.48756679419036
ikea,0.5743345924308367
lockig,7.101043724643483
backrest,118.20044797060108
kids,2.0981645460690537
european,20.239871525660366
care,6.004302338588478
touch,34.217537968885296
supplement,62.88523899099672
tableware,8.622444932135535
medicine,6.6132906668787035
extrusion,2.000573067910156
unisex,2.3004228600424437
absorbent,8.048595949179552
dry,128.4203554934945
microfiber,146.30768687637135
cartoon,0.8659746012980354
bear,532.1371326947693
face,26.35750342921939
pigeon,404.11519847131694
peristaltic,1.4874624137965682
plus,0.6329416957100038
teat,766.7833549350618
puting,6.28553643076673
headr,886.6044966998021
drop,12.115777907098646
resistance,31.174865457714507
freeshippe,1.8221682395040097
item,1.7862011824762296
hang,0.7606411395748255
stand,14.579280352623307
separation,233.5773067011953
sucker,6.982530589631738
rotation,4.263192420461285
fan,0.8180726284605822
toe,0.6223171522140949
refill,50.128106439354475
mango,13.646619780679513
flavour,3.825547205880523
hollow,49.3118455041759
genki,2.623197282183531
mega,14.068035244224735
geometric,27.396361793011035
gold,2.2941907037033484
glass,21.76040073812942
candle,0.9086499318146579
decoration,103.11951638114182
candelabra,41.81179626069112
wedding,7.9723038784152465
centerpiece,0.46103058151896853
candlestick,72.5244048881009
bei,0.45101929548435304
je,24.471057766192047
mall,103.16420306398214
protect,15.069326036089254
shoulder,38.029718139520554
manjaku,3.14901499361659
door,722.1476690357126
step,4.2313072336540385
thick,16.3612985184544
point,0.8882628387228123
break,5.143632156852795
household,2.991510515130136
cranberry,1748.1150040052948
mommy,4.811658287679604
homemade,69.05202033791606
powder,141.38117201810178
garlic,311.57731878876876
houzetek,2.4625342292466597
hot,0.5666283123351253
music,29.9663234085112
temperatere,0.37093735102382397
nanny,16.451404214496048
lil,3.488403071997059
bit,7.375561226671577
cinnamon,2.972984859271808
organix,26.514182911940235
naturally,90.58958465221534
kinder,2.383822369201221
carseat,0.4061257469881066
spray,2064.680336496105
skin,181.55144088609597
antibacterial,1.8973638511969073
kill,6.685808218135899
bacteria,6.022972707584265
second,16.756316905696966
poncho,2.3229321158052856
indoor,165.35722238247598
plug,10.428604755653858
chiwawa,11.44094448891478
auto,2.6854462521874956
lock,1.4472830449057392
fish,1.8616918030227168
height,1148.628101424845
surfing,8.52236320857785
trunk,423.36099041955674
refillable,3.0172587348956634
case,0.6259064356740177
small,0.8039623531717021
washcloth,1.8695546944097599
lost,10.072213548077539
milk,0.34152690612758674
mamakiddie,8.253777978660516
include,11.006555678883192
select,9.231964832991885
product,54.05350921651589
option,19.385664701563744
mommyj,0.45101929548435304
natural,0.45052286105542066
kombu,0.6800739739071602
gte,4.038782248632843
fulfil,89.6804057254889
shop,0.7255653062716562
smart,18.59266325313879
alarm,190.4293812945668
intelligent,284.3277073267472
bluetooth,99.84929595540835
leash,21.98771696735737
assistant,0.4763541378590672
zipper,5.720843696231277
bathing,3.3522557820492485
germany,0.4208926598454068
rusch,63.15801805942447
babycook,0.4031103221162131
steam,0.672506881209298
cooker,362.5153614959795
blender,2298.248871995374
dishwasher,1.6876734381426717
processor,2.3387286518529673
waterproof,48.77820667925852
mat,0.5186236131043429
cole,19.029548346470342
grey,895.2948035611875
